state,district,biomass_type,crop,annual_availability_tons,availability_type,year,moisture_percent,calorific_value_mj_kg,cost_rs_per_ton,latitude,longitude,source
Punjab,Bilaspur,Rice Husk,Rice,102000,Surplus Biomass Residue,2015–18,10.5,13.9,2280,31.634,74.873,"National Biomass Atlas of India (SSS-NIBE/MNRE), based on ASCI study"
Punjab,Chamba,Wheat Straw,Wheat,96900,Surplus Biomass Residue,2015–18,15,14.4,2240,30.378,75.546,"National Biomass Atlas of India (SSS-NIBE/MNRE), based on ASCI study"
Punjab,Hamirpur,Maize Residue,Maize,70400,Surplus Biomass Residue,2015–18,15.5,15,2290,30.211,74.945,"National Biomass Atlas of India (SSS-NIBE/MNRE), based on ASCI study"
Punjab,Kangra,Sugarcane Bagasse,Sugarcane,157500,Surplus Biomass Residue,2015–18,49.5,8.6,2600,30.677,74.755,"National Biomass Atlas of India (SSS-NIBE/MNRE), based on ASCI study"
Punjab,Kinnaur,Rice Husk,Rice,109200,Surplus Biomass Residue,2015–18,13,15.1,2570,30.643,76.395,"National Biomass Atlas of India (SSS-NIBE/MNRE), based on ASCI study"
Punjab,Kullu,Wheat Straw,Wheat,102600,Surplus Biomass Residue,2015–18,14,14.2,2160,30.403,74.028,"National Biomass Atlas of India (SSS-NIBE/MNRE), based on ASCI study"
Punjab,Lahaul and Spiti,Maize Residue,Maize,75200,Surplus Biomass Residue,2015–18,14.5,14.8,2200,30.933,74.622,"National Biomass Atlas of India (SSS-NIBE/MNRE), based on ASCI study"
Punjab,Mandi,Sugarcane Bagasse,Sugarcane,166500,Surplus Biomass Residue,2015–18,48.5,8.4,2500,32.041,75.405,"National Biomass Atlas of India (SSS-NIBE/MNRE), based on ASCI study"
Punjab,Shimla,Rice Husk,Rice,116400,Surplus Biomass Residue,2015–18,12,14.9,2470,31.532,75.911,"National Biomass Atlas of India (SSS-NIBE/MNRE), based on ASCI study"
Punjab,Sirmaur,Wheat Straw,Wheat,108300,Surplus Biomass Residue,2015–18,16.5,14,2420,31.326,75.576,"National Biomass Atlas of India (SSS-NIBE/MNRE), based on ASCI study"
Punjab,Solan,Maize Residue,Maize,80000,Surplus Biomass Residue,2015–18,13.5,14.6,2120,31.38,75.381,"National Biomass Atlas of India (SSS-NIBE/MNRE), based on ASCI study"
Punjab,Una,Sugarcane Bagasse,Sugarcane,129000,Surplus Biomass Residue,2015–18,51,9.6,2810,30.901,75.857,"National Biomass Atlas of India (SSS-NIBE/MNRE), based on ASCI study"
Punjab,Malerkotla,Rice Husk,Rice,123600,Surplus Biomass Residue,2015–18,11,14.7,2380,30.525,75.89,"National Biomass Atlas of India (SSS-NIBE/MNRE), based on ASCI study"
Punjab,Mansa,Wheat Straw,Wheat,84600,Surplus Biomass Residue,2015–18,15.5,13.8,2330,29.999,75.393,"National Biomass Atlas of India (SSS-NIBE/MNRE), based on ASCI study"
