District,State,Latitude,Longitude
Ambala,Haryana,30.378,76.776
Bhiwani,Haryana,28.795,76.132
Charkhi Dadri,Haryana,28.591,76.272
Faridabad,Haryana,28.408,77.317
Fatehabad,Haryana,29.515,75.455
Gurugram,Haryana,28.459,77.026
Hisar,Haryana,29.149,75.722
Jhajjar,Haryana,28.606,76.656
Jind,Haryana,29.316,76.316
Kaithal,Haryana,29.801,76.399
Karnal,Haryana,29.685,76.99
Kurukshetra,Haryana,29.969,76.878
Mahendragarh,Haryana,28.277,76.14
Nuh,Haryana,28.103,77.014
Palwal,Haryana,28.148,77.333
Panchkula,Haryana,30.694,76.86
Panipat,Haryana,29.391,76.963
Rewari,Haryana,28.199,76.619
Rohtak,Haryana,28.895,76.606
Sirsa,Haryana,29.535,75.028
Sonipat,Haryana,28.993,77.015
Yamunanagar,Haryana,30.129,77.267
Bilaspur,Himachal Pradesh,31.333,76.756
Chamba,Himachal Pradesh,32.553,76.126
Hamirpur,Himachal Pradesh,31.686,76.522
Kangra,Himachal Pradesh,32.099,76.269
Kinnaur,Himachal Pradesh,31.583,78.467
Kullu,Himachal Pradesh,31.959,77.108
Lahaul and Spiti,Himachal Pradesh,32.5,77.75
Mandi,Himachal Pradesh,31.708,76.931
Shimla,Himachal Pradesh,31.104,77.173
Sirmaur,Himachal Pradesh,30.562,77.297
Solan,Himachal Pradesh,30.904,77.096
Una,Himachal Pradesh,31.468,76.27
Anantnag,Jammu and Kashmir,33.731,75.154
Bandipora,Jammu and Kashmir,34.417,74.637
Baramulla,Jammu and Kashmir,34.202,74.348
Budgam,Jammu and Kashmir,34.015,74.723
Doda,Jammu and Kashmir,33.149,75.548
Ganderbal,Jammu and Kashmir,34.226,74.771
Jammu,Jammu and Kashmir,32.726,74.857
Kathua,Jammu and Kashmir,32.386,75.518
Kishtwar,Jammu and Kashmir,33.314,75.768
Kulgam,Jammu and Kashmir,33.638,75.019
Kupwara,Jammu and Kashmir,34.526,74.255
Poonch,Jammu and Kashmir,33.771,74.092
Pulwama,Jammu and Kashmir,33.874,74.899
