state_id,state,district_id,district,discom_id,tariff_id,consumer_category,slab_from,slab_to,slab_unit,rate_rs_per_unit,rate_unit,tariff_year,effective_from,official_source,data_status,notes
HR,Haryana,HR_AMBALA,Ambala,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_006,LT Industrial,0,10,kW,6.45,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_AMBALA,Ambala,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_007,LT Industrial,10,20,kW,6.8,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_AMBALA,Ambala,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_008,LT Industrial,20,50,kW,6.6,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_AMBALA,Ambala,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_001,HT Supply / Industrial,50,NA,kW,6.9,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_AMBALA,Ambala,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_002,HT Supply / Industrial,50,NA,kW,6.85,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_AMBALA,Ambala,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_003,HT Supply / Industrial,50,NA,kW,6.75,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_AMBALA,Ambala,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_004,HT Supply / Industrial,50,NA,kW,6.7,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_AMBALA,Ambala,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_005,HT Supply / Industrial,50,NA,kW,6.55,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_BHIWANI,Bhiwani,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_006,LT Industrial,0,10,kW,6.45,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_BHIWANI,Bhiwani,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_007,LT Industrial,10,20,kW,6.8,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_BHIWANI,Bhiwani,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_008,LT Industrial,20,50,kW,6.6,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_BHIWANI,Bhiwani,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_001,HT Supply / Industrial,50,NA,kW,6.9,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_BHIWANI,Bhiwani,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_002,HT Supply / Industrial,50,NA,kW,6.85,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_BHIWANI,Bhiwani,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_003,HT Supply / Industrial,50,NA,kW,6.75,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_BHIWANI,Bhiwani,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_004,HT Supply / Industrial,50,NA,kW,6.7,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_BHIWANI,Bhiwani,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_005,HT Supply / Industrial,50,NA,kW,6.55,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_CHARKHI_DADRI,Charkhi Dadri,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_006,LT Industrial,0,10,kW,6.45,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_CHARKHI_DADRI,Charkhi Dadri,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_007,LT Industrial,10,20,kW,6.8,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_CHARKHI_DADRI,Charkhi Dadri,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_008,LT Industrial,20,50,kW,6.6,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_CHARKHI_DADRI,Charkhi Dadri,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_001,HT Supply / Industrial,50,NA,kW,6.9,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_CHARKHI_DADRI,Charkhi Dadri,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_002,HT Supply / Industrial,50,NA,kW,6.85,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_CHARKHI_DADRI,Charkhi Dadri,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_003,HT Supply / Industrial,50,NA,kW,6.75,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_CHARKHI_DADRI,Charkhi Dadri,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_004,HT Supply / Industrial,50,NA,kW,6.7,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_CHARKHI_DADRI,Charkhi Dadri,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_005,HT Supply / Industrial,50,NA,kW,6.55,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FARIDABAD,Faridabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_006,LT Industrial,0,10,kW,6.45,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FARIDABAD,Faridabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_007,LT Industrial,10,20,kW,6.8,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FARIDABAD,Faridabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_008,LT Industrial,20,50,kW,6.6,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FARIDABAD,Faridabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_001,HT Supply / Industrial,50,NA,kW,6.9,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FARIDABAD,Faridabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_002,HT Supply / Industrial,50,NA,kW,6.85,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FARIDABAD,Faridabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_003,HT Supply / Industrial,50,NA,kW,6.75,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FARIDABAD,Faridabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_004,HT Supply / Industrial,50,NA,kW,6.7,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FARIDABAD,Faridabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_005,HT Supply / Industrial,50,NA,kW,6.55,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FATEHABAD,Fatehabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_006,LT Industrial,0,10,kW,6.45,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FATEHABAD,Fatehabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_007,LT Industrial,10,20,kW,6.8,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FATEHABAD,Fatehabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_008,LT Industrial,20,50,kW,6.6,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FATEHABAD,Fatehabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_001,HT Supply / Industrial,50,NA,kW,6.9,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FATEHABAD,Fatehabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_002,HT Supply / Industrial,50,NA,kW,6.85,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FATEHABAD,Fatehabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_003,HT Supply / Industrial,50,NA,kW,6.75,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FATEHABAD,Fatehabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_004,HT Supply / Industrial,50,NA,kW,6.7,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
HR,Haryana,HR_FATEHABAD,Fatehabad,HR_UHBVN_DHBVN,HR_HR_UHBVN_DHBVN_005,HT Supply / Industrial,50,NA,kW,6.55,Rs/kVAh,2026-27,2026-04-01,https://herc.gov.in/WriteReadData/Orders/O2026250325.pdf,VERIFIED_OFFICIAL_SOURCE,District row is an application of the official DISCOM/state tariff band; electricity tariff is not independently set by district.
