state,discom,consumer_category,voltage_level,energy_charge_rs_per_kwh,fixed_charge_rs_per_kw_month,demand_charge_rs_per_kva_month,effective_from,tariff_order_category_label,has_tod,has_slab,notes
Andaman & Nicobar Islands,A&N Electricity Dept.,LT Industrial,LT (below 11kV),8.75,,75,2024-06-16,INDUSTRIAL SUPPLY - LT Industrial (upto 500 kWh slab),N,Y,Slab tariff; see slab_rates.csv
Andaman & Nicobar Islands,A&N Electricity Dept.,HT Industrial,11 kV and above,8.5,,75,2024-06-16,INDUSTRIAL SUPPLY - HT Industrial (upto 500 kWh slab),N,Y,Slab tariff; see slab_rates.csv
Andhra Pradesh,APEPDCL/APSPDCL/APCPDCL (APERC),LT Industrial (General),LT,6.7,75,,2024-04-01,LT-III(A) Industry General (contracted load up to 75kW/100HP),N,N,
Andhra Pradesh,APEPDCL/APSPDCL/APCPDCL (APERC),HT Industrial (General),11 kV,6.3,,475,2024-04-01,"HT-III(A) Industry-General, Normal TOD band (15-18h & 22-24h), HGD season",Y,N,Rate shown is at 11kV; falls as voltage rises to 33/132/220kV. TOD detail in tariff_tod.csv
Arunachal Pradesh,"Dept. of Power, Govt. of Arunachal Pradesh",LT Industrial,LT (230V/400V),4.3,0,,2024-07-01,"Category 5 - Industrial Consumers, LT",N,N,
Arunachal Pradesh,"Dept. of Power, Govt. of Arunachal Pradesh",HT Industrial,11 kV,3.85,0,,2024-07-01,"Category 5 - Industrial Consumers, HT 11kV",N,N,"Also 33kV=3.50, 132kV=3.35 Rs/kWh"
Assam,APDCL,LT Small Industries (Urban),LT,7.09,80,,2024-07-01,LT-VIII Small Industries upto 30kW (Urban),N,N,"Rural rate = 6.84 Rs/kWh, fixed 70 Rs/kW/month"
Assam,APDCL,HT Industries-I,HT (35-150 kVA),7.94,,200,2024-07-01,HT-V(B) HT Industries-I (above 50kVA to 150kVA),Y,N,TOD detail in tariff_tod.csv
Bihar,NBPDCL/SBPDCL,LT Industrial,LT (upto 19kW),7.79,,288,2024-04-01,"LTIS-I LT Industrial Service, demand-based (Contract demand upto 19kW)",N,N,
Bihar,NBPDCL/SBPDCL,HT Industrial,11 kV (50-1500 kVA),7.98,,550,2024-04-01,HTIS-I HT Industrial Services at 11kV,Y,N,TOD detail (3 bands) in tariff_tod.csv
Chandigarh,Chandigarh Electricity Dept.,LT Small Industrial,LT (upto 20kW),4.5,50,,2024-08-01,"Small Industrial Power Supply (SP), upto 20kW/26BHP",N,N,
Chandigarh,Chandigarh Electricity Dept.,HT/Large Industrial,11 kV (above 100kVA),4.35,240,,2024-08-01,"Large Industrial Power Supply (LS), at 11kV",N,N,"Voltage surcharge/rebate, not TOD: 20% surcharge if supplied at 400V; 3% rebate at 33kV+"
Chhattisgarh,CSPDCL,LT Industry (General),LT (upto 25HP),5.75,,120*,2024-06-01,"LV-5.2.1 Other Industries, upto 25HP/18.7kW",N,N,"*demand charge on billing demand, Rs/kW"
Chhattisgarh,CSPDCL,"HT Industrial (Other, LF>15%)",11 kV,7.35,,375,2024-06-01,"HV-3 Other Industrial, 11kV Supply, Load Factor >15%",Y,N,TOD detail in tariff_tod.csv
Dadra & Nagar Haveli and Daman & Diu,DNHDD Power Distribution Corp.,LT Industrial,LT (upto 20HP),4.0,,35 Rs/HP*,2024-06-16,"LT-Industrial, upto 20HP",N,N,"*fixed charge in Rs/HP/month, not Rs/kW"
Dadra & Nagar Haveli and Daman & Diu,DNHDD Power Distribution Corp.,HT/EHT Industrial,11 kV,4.7,,440,2024-06-16,"HT/EHT Industrial, 11kV supply",N,N,66kV=4.60 Rs/kWh (demand 570); 220kV=4.50 Rs/kWh (demand 625)
Delhi,BYPL/BRPL/TPDDL,Industrial (single category),LT/HT (no split),7.75,,250,2021-10-01,Category 3 - Industrial,Y,N,"Single tariff regardless of voltage/load. TOD detail (seasonal, May-Sep) in tariff_tod.csv"
Delhi,NDMC,Industrial (single category),LT/HT (no split),7.75,,250,2021-10-01,Category 3 - Industrial,Y,N,Same structure as BYPL/BRPL/TPDDL. TOD detail in tariff_tod.csv
Goa,Goa Electricity Dept.,LT Industrial,LT (0-500 units),4.0,,50 Rs/HP*,2024-06-16,3-LTI Industrial,N,Y,*fixed charge in Rs/HP/month. Slab detail in slab_rates.csv
Goa,Goa Electricity Dept.,HT Industrial,11/33 kV,5.1,,275,2024-06-16,7-HTI Industrial (at 11/33kV),Y,N,TOD detail in tariff_tod.csv
Gujarat,UGVCL/PGVCL/MGVCL/DGVCL,"LT (general, load-based)","LT (above 10kW, upto 40kW)",4.65,85,,2024-06-01,"Non-RGP, aggregate load up to 40kW (no distinct 'Industrial' label at LT)",N,N,"Gujarat's LT tariff is load-slab based, not activity-based; nearest analogue to small industrial"
Gujarat,UGVCL/PGVCL/MGVCL/DGVCL,HT (general incl. Industrial),"HT (100kVA+, first 500kVA)",4.0,,150,2024-06-01,"HTP-I, contracted load 100kVA+ (general purpose, incl. industrial)",Y,N,TOD detail in tariff_tod.csv
Gujarat,"Torrent Power Ltd., Ahmedabad","LT (general, load-based)","LT (>15kW, not elsewhere classified)",4.8,,175,2024-06-01,"LTMD-2, installations above 15kW load",N,N,No distinct 'Industrial' label at LT
Gujarat,"Torrent Power Ltd., Ahmedabad",HT (general incl. Industrial),"HT (100kW+, first 400kWh/kW)",4.55,,260,2024-06-01,"HTMD-1, HT consumers with MD 100kW+",Y,N,TOD detail in tariff_tod.csv (season-dependent range)
Gujarat,"Torrent Power Ltd., Surat","LT (general, load-based)","LT (>15kW, upto 20kVA)",4.85,,115,2024-06-01,"LTMD, installations above 15kW load",N,N,No distinct 'Industrial' label at LT
Gujarat,"Torrent Power Ltd., Surat",HT (general incl. Industrial),"HT (100kVA+, first 400 units/kVA)",4.8,,170,2024-06-01,"HTMD-1, HT consumers 100kVA+",Y,N,TOD detail in tariff_tod.csv (season-dependent range)
Haryana,UHBVN/DHBVN,LT Industry (20-50kW),"LT (above 20kW, upto 50kW)",6.4,160,,2024-04-01,"Category 3 - LT Non-Domestic/Industry, above 20kW upto 50kW",N,N,"Upto 10kW slab = 6.35 Rs/kWh, fixed 185 Rs/kW/month"
Haryana,UHBVN/DHBVN,HT Industry (11kV),11 kV,6.65,,165,2024-04-01,"Category 2 - HT Non-Domestic/Industry, at 11kV",N,N,"Rate falls with voltage: 33kV=6.55, 132kV=6.45, 220kV=6.35, 400kV=6.25 Rs/kWh"
Himachal Pradesh,HPSEBL,LT Small Industrial Power Supply,LT (<=20kVA),5.92,,155 Rs/Month flat,2024-04-01,"SIP - Small Industrial Power Supply, single-part tariff",N,N,"Two-part tariff (20-50kVA) = 5.81 Rs/kWh, demand 100 Rs/kVA/month"
Himachal Pradesh,HPSEBL,HT-1 Industrial,HT (upto 1 MVA),6.06,,250,2024-04-01,"HT-1, Contract Demand up to and including 1 MVA",N,N,"HT-2 (>1MVA) = 5.81 Rs/kWh, demand 400 Rs/kVA/month"
Jammu & Kashmir,JPDCL/KPDCL,LT Industrial,LT (<50kW),4.2,,60,2023-12-01,"Sch.8 LTIS-I, LT Industrial Supply, connected load <50kW",N,N,
Jammu & Kashmir,JPDCL/KPDCL,HT Industrial,11 kV,4.1,,175,2023-12-01,"Sch.9 HT Industrial Supply, 11kV",Y,N,TOD applies only at 33kV+; detail in tariff_tod.csv
