tariff_id,state,state_id,discom,discom_id,consumer_category,voltage_level_or_load,energy_charge,energy_charge_unit,fixed_charge,fixed_charge_unit,demand_charge,demand_charge_unit,effective_from,tariff_year,tariff_order_category_label,has_tod,has_slab,notes,official_source,data_status,source_type
HR_HR_UHBVN_DHBVN_001,Haryana,HR,UHBVN/DHBVN,HR_UHBVN_DHBVN,HT Supply / Industrial,11 kV,6.9,Rs/kVAh,290,Rs/kVA/month,0,Not separately charged,2026-04-01,2026-27,HT Supply above 50 kW,N,N,HERC kept FY2026-27 tariff unchanged; official FY2025-26 DHBVN schedule is therefore retained for FY2026-27. Fixed charge Rs 290/kVA/month.,https://dhbvn.org.in/staticContent/saleregulation/salecircular/circular2025/04_D_2025.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
HR_HR_UHBVN_DHBVN_002,Haryana,HR,UHBVN/DHBVN,HR_UHBVN_DHBVN,HT Supply / Industrial,33 kV,6.85,Rs/kVAh,290,Rs/kVA/month,0,Not separately charged,2026-04-01,2026-27,HT Supply above 50 kW,N,N,HERC kept FY2026-27 tariff unchanged; official FY2025-26 DHBVN schedule is therefore retained for FY2026-27. Fixed charge Rs 290/kVA/month.,https://dhbvn.org.in/staticContent/saleregulation/salecircular/circular2025/04_D_2025.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
HR_HR_UHBVN_DHBVN_003,Haryana,HR,UHBVN/DHBVN,HR_UHBVN_DHBVN,HT Supply / Industrial,66/132 kV,6.75,Rs/kVAh,290,Rs/kVA/month,0,Not separately charged,2026-04-01,2026-27,HT Supply above 50 kW,N,N,HERC kept FY2026-27 tariff unchanged; official FY2025-26 DHBVN schedule is therefore retained for FY2026-27. Fixed charge Rs 290/kVA/month.,https://dhbvn.org.in/staticContent/saleregulation/salecircular/circular2025/04_D_2025.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
HR_HR_UHBVN_DHBVN_004,Haryana,HR,UHBVN/DHBVN,HR_UHBVN_DHBVN,HT Supply / Industrial,220 kV,6.7,Rs/kVAh,290,Rs/kVA/month,0,Not separately charged,2026-04-01,2026-27,HT Supply above 50 kW,N,N,HERC kept FY2026-27 tariff unchanged; official FY2025-26 DHBVN schedule is therefore retained for FY2026-27. Fixed charge Rs 290/kVA/month.,https://dhbvn.org.in/staticContent/saleregulation/salecircular/circular2025/04_D_2025.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
HR_HR_UHBVN_DHBVN_005,Haryana,HR,UHBVN/DHBVN,HR_UHBVN_DHBVN,HT Supply / Industrial,400 kV,6.55,Rs/kVAh,290,Rs/kVA/month,0,Not separately charged,2026-04-01,2026-27,HT Supply above 50 kW,N,N,HERC kept FY2026-27 tariff unchanged; official FY2025-26 DHBVN schedule is therefore retained for FY2026-27. Fixed charge Rs 290/kVA/month.,https://dhbvn.org.in/staticContent/saleregulation/salecircular/circular2025/04_D_2025.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
HR_HR_UHBVN_DHBVN_006,Haryana,HR,UHBVN/DHBVN,HR_UHBVN_DHBVN,LT Industrial,LT up to 10 kW,6.45,Rs/kVAh,100,Rs/kW/month,0,Not separately charged,2026-04-01,2026-27,LT Supply up to 50 kW,N,Y,HERC kept FY2026-27 tariff unchanged; official FY2025-26 DHBVN schedule is retained for FY2026-27.,https://dhbvn.org.in/staticContent/saleregulation/salecircular/circular2025/04_D_2025.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
HR_HR_UHBVN_DHBVN_007,Haryana,HR,UHBVN/DHBVN,HR_UHBVN_DHBVN,LT Industrial,LT >10 to 20 kW,6.8,Rs/kVAh,100,Rs/kW/month,0,Not separately charged,2026-04-01,2026-27,LT Supply up to 50 kW,N,Y,HERC kept FY2026-27 tariff unchanged; official FY2025-26 DHBVN schedule is retained for FY2026-27.,https://dhbvn.org.in/staticContent/saleregulation/salecircular/circular2025/04_D_2025.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
HR_HR_UHBVN_DHBVN_008,Haryana,HR,UHBVN/DHBVN,HR_UHBVN_DHBVN,LT Industrial,LT >20 to 50 kW,6.6,Rs/kVAh,250,Rs/kW/month,0,Not separately charged,2026-04-01,2026-27,LT Supply up to 50 kW,N,Y,HERC kept FY2026-27 tariff unchanged; official FY2025-26 DHBVN schedule is retained for FY2026-27.,https://dhbvn.org.in/staticContent/saleregulation/salecircular/circular2025/04_D_2025.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
HP_HP_HPSEBL_009,Himachal Pradesh,HP,HPSEBL,HP_HPSEBL,Small Industrial Power Supply,Up to 20 kVA,5.71,Rs/kWh,155,Rs/kVA/month,0,Not separately charged,2026-04-01,2026-27,Small Industrial Power Supply,Y,Y,HPSEBL current tariff rates applicable from 01-Apr-2026.,https://www.hpseb.in/irj/go/km/docs/internet/New_Website/Pages/tariff2.html,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
HP_HP_HPSEBL_010,Himachal Pradesh,HP,HPSEBL,HP_HPSEBL,Small Industrial Power Supply,>20 to 50 kVA,5.6,Rs/kWh,0,Rs/kVA/month,100,Rs/kVA/month,2026-04-01,2026-27,Small Industrial Power Supply,Y,Y,HPSEBL current tariff rates applicable from 01-Apr-2026.,https://www.hpseb.in/irj/go/km/docs/internet/New_Website/Pages/tariff2.html,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
