Fuel Category,Fuel,Variant / Grade,Unit,Typical Industrial Cost ₹/Unit,GCV,GCV Unit,CO₂ Factor,CO₂ Unit,Recommended Source
Coal,Indian Coal,Industrial / non-coking,kg,₹8.50/kg,18.83*,MJ/kg,1.52,kg CO₂/kg,BEE + Coal India
Liquid,Diesel/HSD,Industrial/bulk,L,₹137.81/L,43.31*,MJ/kg,3.13,kg CO₂/kg,BEE + PPAC
Gas,LPG,Industrial,kg,₹151.18/kg,49.79*,MJ/kg,2.89,kg CO₂/kg,BEE + OMC/PPAC
Gas,Natural Gas,Industrial PNG,SCM,₹50/SCM,36.61*,MJ/SCM,2.69,kg CO₂/SCM†,BEE + PPAC + GAIL
Biomass,Rice Husk,Loose,kg,₹8.00/kg,13–15,MJ/kg,1.4,kg CO₂/kg,BEE + IPCC + supplier quotation
Biomass,Wheat Straw,Loose,kg,₹3.00,14–16,MJ/kg,~1.52,kg CO₂/kg,BEE + IPCC + supplier quotation
Biomass,Bagasse,Wet,kg,₹2.50,7–10,MJ/kg,~1.52,kg CO₂/kg,BEE + IPCC + supplier quotation
Biomass,Bagasse,Dry,kg,₹3.50,16–19,MJ/kg,~1.52,kg CO₂/kg,BEE + IPCC + supplier quotation
Biomass,Wood Chips,Industrial,kg,₹5.50,15–18,MJ/kg,~1.68,kg CO₂/kg,BEE + IPCC + supplier quotation
Biomass,Briquettes,Industrial,kg,₹12.50,~16.7–18.8‡,MJ/kg,~1.68,kg CO₂/kg,BEE + IPCC + supplier quotation/test certificate
Biomass,Pellets,Industrial,kg,₹9.00,~15.9–19.2‡,MJ/kg,~1.68,kg CO₂/kg,BEE + IPCC + supplier quotation/test certificate
Biomass,Rice Husk Pellets,Industrial,kg,₹10.50,~14.2–15.9‡,MJ/kg,~1.52,kg CO₂/kg,BEE + IPCC + supplier quotation/test certificate
Biomass,Paddy Straw/Parali Pellets,Industrial,kg,₹11.00,~15.1–16.7‡,MJ/kg,~1.52,kg CO₂/kg,BEE + IPCC + supplier quotation/test certificate
Biomass,Wood Pellets,Industrial,kg,₹15.75,~17.6–19.2‡,MJ/kg,v,kg CO₂/kg,IPCC + supplier quotation/test certificate
